ID,sentence,reason for choice
ikmevl_0001,さなう さす。,母音の無声化あり
ikmevl_0002,さなう さず。,母音の無声化なし
ikmevl_0003,まーぬ しゃーいな。,子音の口蓋化あり
ikmevl_0004,まーぬ さーいな。,子音の口蓋化なし
ikmevl_0005,ばが たまー うん しゅくな。,子音の口蓋化あり
ikmevl_0006,ばが たまー うん そぅくな。,子音の口蓋化なし
ikmevl_0007,きじゃんたばく。,子音の口蓋化あり
ikmevl_0008,きざんたばく。,子音の口蓋化なし
ikmevl_0009,っじゅ つー。,子音の口蓋化あり
ikmevl_0010,っぞぅ つー。,子音の口蓋化なし
ikmevl_0011,さゆいや っそぅっぞぅ。,子音の口蓋化あり・なし共存
ikmevl_0012,ちゅー ふぃー。,子音の口蓋化あり・中舌母音なし
ikmevl_0013,つー ふぃー。,子音の口蓋化なし・中舌母音あり
ikmevl_0014,ふにぬ はー。,子音/h/の条件異音・無声声門摩擦音 は[ha]
ikmevl_0015,ふにぬ ひー。,子音/h/の条件異音・無声硬口蓋摩擦音 ひ[çi]
ikmevl_0016,ふにぬ ほぅー。,子音/h/の条件異音・無声両唇摩擦音 ほぅ[ɸu]
ikmevl_0017,からん なりゅー。,子音/r/の二重子音なし
ikmevl_0018,かっらん なりゅー。,子音/r/の二重子音あり
ikmevl_0019,んﾟなまい にゃーん。,/n/の前の無声歯茎鼻音[n̥]
ikmevl_0020,んなまい にゃーん。,/n/の前の有声歯茎鼻音[n]
ikmevl_0021,んﾟむまい にゃーん。,/m/の前の無声両唇鼻音[m̥]
ikmevl_0022,んみまい にゃーん。,/m/の前の有声両唇鼻音[m]
ikmevl_0023,んﾟんはっじゃき。,撥音の前の無声歯茎鼻音[n̥]
ikmevl_0024,うむくとぅーにゃーんんまり。,んの連続[nn]
ikmevl_0025,んーまい にゃーん。,んの長音[nː]
ikmevl_0026,んたまい にゃーん。,撥音の後に上記以外が続く場合の有声鼻音[m]～[n]
ikmevl_0027,がっこうんかい いかん。,語末の撥音 /a/の後の口蓋垂鼻音[ɴ]
ikmevl_0028,がっこうんかい ばいくん。,語末の撥音 /u/の後の口蓋垂鼻音[ɴ]
ikmevl_0029,がっこうんな ならいん。,語末の撥音 /i/の後の軟口蓋鼻音[ŋ]～硬口蓋鼻音[ɲ]
ikmevl_0030,すーゆ いびー。,中舌母音あり
ikmevl_0031,そぅーゆ いびー。,中舌母音なし
ikmevl_0032,すーや そぅーむぬ。,中舌母音あり・なし共存
ikmevl_0033,あーさう むっす。,中舌母音あり
ikmevl_0034,あーさとぅ むっそぅ。,中舌母音なし
ikmevl_0035,みみじゃーぬ まずむぬ。,中舌母音あり
ikmevl_0036,みみじゃーや まっず。,中舌母音あり
ikmevl_0037,みみじゃ－や んまっぞぅ。,中舌母音なし
ikmevl_0038,んっつー ばっしーにゃーん。,中舌母音あり
ikmevl_0039,んっちゅ ばっしーにゃーん。,中舌母音なし
ikmevl_0040,はたう ほぅい。,/h/と/f/の対立 ほぅ[hu]
ikmevl_0041,はたう ふい。,/h/と/f/の対立 ふ[fu]
ikmevl_0042,まさいや はずぬ ふにゅー ぶりー ながやーじゃうゆ ほぅーたい。,/h/と/f/の対立 ほぅ・ふの共存
ikmevl_0043,っふがー。,語頭促音あり
ikmevl_0044,ふーぬが。,語頭促音なし
ikmevl_0045,っさりーにゃーん。,語頭促音あり
ikmevl_0046,さりーにゃーん。,語頭促音なし
ikmevl_0047,っじゅん ちゃーゆ あっちゃす。,語頭促音あり
ikmevl_0048,じゅんてぃー ちゃーゆ あっちゃす。,語頭促音なし
ikmevl_0049,かいがどぅ ったい。,語頭促音あり
ikmevl_0050,かいがどぅ たい。,語頭促音なし
ikmevl_0051,っちゃー すかまんかい いつ。,語頭促音あり
ikmevl_0052,ちゃー すかまんかい いつ。,語頭促音なし
